# RUN METADATA
# Timestamp,2026-04-15T10:25:38
# Threshold,0.6
# Analysed,467
# Passed,101

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
TORNTPHARM,0.7369,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (35.0%).,TORNTPHARM,Healthcare,Unknown,4204.8,0,16.84792,26.5,27.0,,34.98,10.36,26.1,17.833,75.641,74.51244781196846,25.854867569418367,16.492080673308447,"{'dsri': np.float64(0.9445018089057774), 'gmi': np.float64(0.9878458879997224), 'sgi': np.float64(1.071474895169712), 'lvgi': np.float64(0.7999755942325256), 'tata': np.float64(-0.04495474904834907)}",142255.0,2585.0,61.7,LOW
PNB,0.7357,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (68.5%). Caveat: Missing Moat data.,PNB,Financial Services,Unknown,113.2,0,0.87359154,15.2,6.32,,68.53,13.24,1.9,34.674,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",130100.0,22075.0,7.31,LOW
BANKBARODA,0.734,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (38.2%). Caveat: Missing Moat data.,BANKBARODA,Financial Services,Unknown,280.0,0,0.88134843,15.5,6.29,,38.19,12.92,4.5,29.962,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",144824.0,34892.0,7.44,LOW
MAZDOCK,0.7332,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,MAZDOCK,Capital Goods,Unknown,2544.0,0,11.517045,34.0,43.2,,58.09,25.11,9.0,19.519000000000002,38.903,37.17894898553417,22.247508940661163,9.53203096809229,"{'dsri': np.float64(0.46800123523344445), 'gmi': np.float64(0.7220284255997841), 'sgi': np.float64(1.2346744214000647), 'lvgi': np.float64(1.260109915253256), 'tata': np.float64(0.011685358502869612)}",102640.0,2078.0,42.7,LOW
HDFCAMC,0.7311,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (32.4%).,HDFCAMC,Financial Services,Unknown,2658.0,0,14.700595,32.4,43.3,,20.87,18.26,19.7,62.686,89.782,89.81117297995678,78.13139570780119,3.8205600210379482,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",113764.0,2075.0,39.6,LOW
WAAREEENER,0.7305,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,WAAREEENER,Capital Goods,Unknown,3418.6,0,8.550391,27.4,34.9,,191.18,71.63,50.0,14.818999999999999,34.052,25.908576460939475,16.261475245052175,8.241585863736313,"{'dsri': np.float64(0.9647718055703093), 'gmi': np.float64(0.7702765190275667), 'sgi': np.float64(1.264200090931236), 'lvgi': np.float64(0.7829941847802901), 'tata': np.float64(-0.06536664610697723)}",97975.0,3158.0,28.2,LOW
MCX,0.7282,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: expensive valuation (PE 77.6x).,MCX,Financial Services,Unknown,2851.8,0,23.299019,34.3,42.9,,57.46,44.55,50.0,51.717997000000004,95.308995,68.8835483514163,61.37618276704643,2.8919345594224177,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",72770.0,950.0,77.6,LOW
SUNPHARMA,0.7267,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (49.5%).,SUNPHARMA,Healthcare,Unknown,1670.9,0,5.1500635,16.9,20.2,,49.47,10.64,15.7,19.214001,78.54100000000001,76.56184276895732,24.175437753704994,25.06878677971801,"{'dsri': np.float64(1.064278621807109), 'gmi': np.float64(0.9760436099709295), 'sgi': np.float64(1.0896762771823625), 'lvgi': np.float64(0.669856691160829), 'tata': np.float64(-0.03412627803212531)}",400497.0,14072.0,33.0,LOW
TORNTPOWER,0.7211,GOOD candidate (Power). Profile: Average Performer (Requires Strict Checklist Review).,TORNTPOWER,Power,Unknown,1504.0,0,4.0294385,19.0,16.0,,87.42,27.07,30.7,10.8830005,28.181,21.97549390641583,13.342537825504602,8.190599559862543,"{'dsri': np.float64(1.0054552956225937), 'gmi': np.float64(0.9202164009058953), 'sgi': np.float64(1.0723794070064425), 'lvgi': np.float64(0.6938668534591169), 'tata': np.float64(-0.04966481085423333)}",76115.0,4805.0,24.1,LOW
HEROMOTOCO,0.7209,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (30.3%).,HEROMOTOCO,Automobile and Auto Components,Unknown,5320.5,0,5.06862,23.1,30.3,,23.63,12.0,14.399999999999999,12.258001,33.598,33.587063822428945,12.68210320714847,8.305289113979518,"{'dsri': np.float64(1.1872421871751768), 'gmi': np.float64(0.9475682059669004), 'sgi': np.float64(1.0828069234764832), 'lvgi': np.float64(1.0632514725157094), 'tata': np.float64(0.0028562552306560826)}",106258.0,4297.0,19.2,LOW
